Title,Initial Sort,Author,Comments,Date,SEO,Readability,Current Redirect,Possibly Remove,To Redirect,"Visits Since June 24.2013 - April 06, 2017",URL,Post ID,Duplicate,last hit,notes
(no title),1,David Harris,—No comments,"Published
2014/11/26",Focus keyword not set.,Not available,,√,,3,http://globallives.org/4483,4483,,,
Home — Front Page,2,glp_admin,—No comments,"Published
2013/01/04",Bad,Bad,,,,206000,http://globallives.org/,8,Pages!6:6,,
— Blog — Posts Page,3,glp_admin,—No comments,"Published
2014/10/20",OK,Bad,,,√,271,http://globallives.org/home-2/blog/,66,Pages!7:7,,
— Thank You,4,David Harris,—No comments,"Published
2013/06/20",Focus keyword not set.,Needs Improvement,,,,42,http://globallives.org/home-2/thankyou/,3115,,,
Home,5,glp_admin,—No comments,"Published
2013/01/04",Focus keyword not set.,Not available,,√,√,,http://globallives.org/home/,4724,Pages!3:3,,
— Blog,6,glp_admin,—No comments,"Published
2014/10/20",Focus keyword not set.,Not available,,√,√,798,http://globallives.org/home/blog/,4725,Pages!4:4,,
(no title) — Draft,7,David Harris,—No comments,"Last Modified
2014/01/03",Focus keyword not set.,Not available,,√,,2,http://globallives.org/3586,3586,,,
(no title) — Draft,8,mpope,—No comments,"Last Modified
2016/06/16",Focus keyword not set.,Not available,,√,,1,http://globallives.org/5155,5155,,,
(no title),9,David Harris,—No comments,"Published
2014/09/02",Focus keyword not set.,Not available,,√,,7,http://globallives.org/unicefmycroftarchive/,4348,,,
About,10,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,9701,http://globallives.org/about/overview/,17,Pages!25:25,,
— Frequently Asked Questions — Draft,11,Lauren Valdez,—No comments,"Last Modified
2013/01/30",Focus keyword not set.,Needs Improvement,,,,0,http://globallives.org/?page_id=285&preview=true,285,,,Answer questions and make live
— Overview,12,rosawu,—No comments,"Published
2013/02/08",Focus keyword not set.,Needs Improvement,,,,9701,http://globallives.org/about/overview/,1261,Pages!26:26,,
— Board of Directors,13,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,1907,http://globallives.org/about/board/,35,,,
— Advisory Council,14,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,624,http://globallives.org/about/council/,29,,,
— Staff,15,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,2320,http://globallives.org/about/staff/,36,Pages!29:29,,
— Crew Members,16,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,740,http://globallives.org/about/crew/,31,,,immediate change needed to remove bad links
— Careers & Internships,17,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,27344,http://globallives.org/about/careers/,27,,,
— — Web Developer Internship — Private,18,Lauren Valdez,—No comments,"Last Modified
2013/03/29",Focus keyword not set.,Needs Improvement,,,,18,http://globallives.org/about/careers/web-developer-internship/,3019,,,
— Leadership Committees — Draft,19,Lauren Valdez,—No comments,"Last Modified
2013/06/20",Focus keyword not set.,Not available,,√,,0,http://globallives.org/about/leadership-committees/,3107,,,
— Press,20,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,404,http://globallives.org/about/press/,79,,,
— — Electronic Press Kit — Draft,21,rosawu,—No comments,"Last Modified
2013/02/05",Focus keyword not set.,Not available,,√,?,?,http://globallives.org/about/press/electronic-press-kit/,785,,,
— Presenting Sponsors,22,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,,,295,http://globallives.org/about/sponsors/,19,,,
— Partners,23,rosawu,—No comments,"Published
2013/02/08",Focus keyword not set.,Needs Improvement,,,,333,http://globallives.org/about/partners/,1241,,,
About,24,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,√,√,?,http://globallives.org/about-2,4726,Pages!11:11,,
— Overview,25,Isabelle Setti,—No comments,"Published
2015/05/03",Focus keyword not set.,Needs Improvement,,√,√,9701,http://globallives.org/about/overview/,4721,Pages!13:13,,
— Board of Directors,26,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,√,√,1907,http://globallives.org/about/board/,4728,Pages!14:14,,
— Advisory Council,27,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,√,√,624,http://globallives.org/about/council/,4729,Pages!15:15,,
— Staff,28,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Needs Improvement,,√,√,2320,http://globallives.org/about/staff/,4730,Pages!16:16,,
— Crew Members,29,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,√,√,740,http://globallives.org/about/crew/,4731,Pages!17:17,,
— Careers & Internships,30,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,√,√,27344,http://globallives.org/about/careers/,4732,Pages!18:18,,
— Press,31,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,√,√,404,http://globallives.org/about/press/,4733,Pages!21:21,,
conversion,32,Stacy Daniels,—No comments,"Published
2013/06/20",Focus keyword not set.,Not available,,√,,1,http://globallives.org/conversion/,3118,,,
Donate,33,David Harris,—No comments,"Published
2013/02/08",Good,Needs Improvement,(302) https://globallives.crowdhoster.com/help-100-000-students-see-the-world?utm_source=slashDonateRedirect&utm_medium=web&utm_campaign=donate2013&utm_content=redirect,,,1890,http://globallives.org/donate/,4727,,,temp redirect
Donate,34,David Harris,33 comments,"Published
2013/02/08",Good,Needs Improvement,(302) https://globallives.crowdhoster.com/help-100-000-students-see-the-world?utm_source=slashDonateRedirect&utm_medium=web&utm_campaign=donate2013&utm_content=redirect,,,1,http://globallives.org/donate-2/,1236,,,temp redirect
— Donate,35,rosawu,—No comments,"Published
2013/02/05",Focus keyword not set.,Needs Improvement,(301)  /donate/,,,1,http://globallives.org/donate-2/donate/,668,,,moved perminantly
Donate,36,David Harris,—No comments,"Published
2013/02/08",OK,Needs Improvement,(302) https://globallives.crowdhoster.com/help-100-000-students-see-the-world?utm_source=slashDonateRedirect&utm_medium=web&utm_campaign=donate2013&utm_content=redirect,√,,0,http://globallives.org/donate-3/,4330,,,temp redirect
Donate now — Draft,37,Danny Spitzberg,—No comments,"Last Modified
2013/12/04",Focus keyword not set.,Needs Improvement,,√,,0,http://globallives.org/donate-now/,3303,,,
Educate,38,David Harris,—No comments,"Published
2013/11/15",Focus keyword not set.,Needs Improvement,(301) /resources/educators/,,,1,http://globallives.org/educate/,3246,,,moved perminantly
Empathy Kit,39,David Harris,—No comments,"Published
2013/11/20",Focus keyword not set.,Needs Improvement,(301) http://globallives.org/resources/educators/,,,0,http://globallives.org/empathykit/,3248,,,moved perminantly
Events,40,Ben,—No comments,"Published
2017/03/26",Focus keyword not set.,Needs Improvement,,,,2271,http://globallives.org/events/,2262,,,
Explore the Collection,41,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,,,"24,283",http://globallives.org/explore-2/,37,,,
Explore the Collection,42,glp_admin,—No comments,"Published
2013/01/07",Focus keyword not set.,Not available,,√,,0,http://globallives.org/explore-2/,4735,,,
